"text","text_en","cmp_code","eu_code"
"ΣΥΜΒΟΛΑΙΟ ΑΛΛΑΓΗΣ","CHANGE CONTRACT",NA,NA
"Η ώρα των μεγάλων αποφάσεων πλησιάζει.","The time of big decisions is approaching.","305.1",NA
"Η ώρα που γράφεται η ιστορία.","The time for history to be made.","305.1",NA
"Πεποίθηση όλων μας είναι ότι ήρθε και πάλι η ώρα της αλλαγής.","It is the belief of all of us that the time for change has come again.","305.1",NA
"Έχουμε χρέος να δώσουμε το παρόν στο νέο ραντεβού με την ιστορία, προετοιμασμένοι κατάλληλα, με όραμα αλλά και με σχέδιο.","It is our duty to be present at the new rendezvous with history, properly prepared, with vision and with a plan.","305.1",NA
"Με πρόγραμμα ριζοσπαστικό, αλλά ταυτόχρονα ρεαλιστικό και υλοποιήσιμο.","With a programme that is radical, but at the same time realistic and achievable.","305.1",NA
"Το πρόγραμμά μας είναι ένα συμβόλαιο για την αλλαγή της καθημερινής ζωής των πολιτών.","Our programme is a contract to change the daily lives of citizens.","305.1",NA
"Είναι το Συμβόλαιο Αλλαγής.","It is the Contract for Change.","305.1",NA
"Είναι ένα συμβόλαιο δικαιοσύνης και σταθερότητας.","It is a contract of justice and stability.","503",NA
"Ένα Συμβόλαιο που συμπυκνώνει ένα διάλογο χρόνων με όλες τις κοινωνικές ομάδες,","A Contract that encapsulates years of dialogue with all social groups,","202.1",NA
"με την κοινωνική πλειοψηφία και καθρεφτίζει τις θελήσεις της, αλλά και τις αναγκαίες τομές για να οδηγήσουν αυτές οι θελήσεις σε συγκεκριμένα και μετρήσιμα μέτρα δικαιοσύνης.","with the social majority and mirrors their wills, but also the necessary breakthroughs to translate these wills into concrete and measurable measures of justice.","503",NA
"Ένα Συμβόλαιο, που στη διαμόρφωση των άρθρων του έχουν συμβάλει πολλοί ειδικοί, επιστήμονες, πραγματικά άριστοι, που βάζουν πάνω απ' όλα τα συμφέρον των πολλών.","A Contract, whose articles have been shaped by many experts, scientists, truly excellent people, who put the interests of the many above all else.","202.1",NA
"Ένα Συμβόλαιο ρεαλιστικό και υλοποιήσιμο, για να έρθει η αλλαγή όχι μόνο στην κυβέρνηση του τόπου αλλά και τη ζωή μας.","A Contract that is realistic and achievable, to bring about change not only in the government of the country but also in our lives.","305.1",NA
"Ένα Συμβόλαιο με την Κοινωνία, που εμπεριέχει τις δεσμεύσεις μας για μια κυβέρνηση προοδευτικής συνεργασίας μακράς πνοής.","A Contract with Society, which includes our commitments to a long-lasting, progressive, collaborative government.","305.1",NA
"Τη δική μας πρόταση για το κοινό πρόγραμμα διακυβέρνησης.","Our proposal for a common programme of governance.","305.1",NA
"Και στις 21 του Μάη, θα ζητήσουμε την υπογραφή και την επικύρωσή του, από τον ελληνικό λαό, διότι αυτή είναι η προγραμματική βάση πάνω στην οποία θα καλέσουμε την επομένη των εκλογών, με την ισχυρή εντολή του ελληνικού λαού, τις προοδευτικές δυνάμεις να συμφωνήσουν.","And on May 21, we will call for its signature and ratification by the Greek people, because this is the programmatic basis on which we will call on the day after the elections, with the strong mandate of the Greek people, for the progressive forces to agree.","601.1",NA
"Για αυτό και στο νέο ραντεβού με την Ιστορία, στις 21 του Μαή, πρέπει όλες και όλοι να είμαστε εκεί.","That is why we must all be there on 21 May for the new rendezvous with history.","202.1",NA
"Όλοι οι δημοκρατικοί και προοδευτικοί πολίτες του τόπου.","All democratic and progressive citizens of the country.","202.1",NA
"Να πούμε, όλοι μαζί, το μεγάλο ΝΑΙ στην Αλλαγή, στη συνεργασία, στην ασφάλεια, τη σιγουριά, τη σταθερότητα, στην πρόοδο και την εξέλιξη της χώρας.","To say, all together, the big YES to Change, to cooperation, to security, safety, certainty, stability, progress and development of the country.","305.1",NA
"Το μεγάλο ΝΑΙ σε μια Νέα Ελλάδα.","The big YES to a New Greece.","601.1",NA
