"text","text_en","cmp_code","eu_code"
"ΠΡΟΓΡΑΜΜΑΤΙΚΕΣ ΘΕΣΕΙΣ","PROGRAMME ITEMS",NA,NA
"Πρώτα η Ελλάδα Πρώτα οι Έλληνες. Μάρτιος 2021","Greece first, Greeks first. March 2021",NA,NA
"Α ΚΕΦΑΛΑΙΟσελ.","A CHAPTERC.",NA,NA
"4-10 Παραγωγική Ελλάδα","4-10 Productive Greece",NA,NA
"Β ΚΕΦΑΛΑΙΟσελ.","B CHAPTERsee.",NA,NA
"11-15 Κοινωνική Ελλάδα","11-15 Social Greece",NA,NA
"Γ ΚΕΦΑΛΑΙΟ σελ.","C CHAPTER p.",NA,NA
"16-18 Πράσινη και Ψηφιακή Ελλάδα","16-18 Green and Digital Greece",NA,NA
"Δ ΚΕΦΑΛΑΙΟσελ.","D CHAPTERp.",NA,NA
"19-22 Δίκαιη Ελλάδα","19-22 Fair Greece",NA,NA
"Ε ΚΕΦΑΛΑΙΟσελ.","E CHAPTERp.",NA,NA
"23-27 Ισχυρή Ελλάδα","23-27 Strong Greece",NA,NA
"ΠΡΟΧΩΡΑΜΕ ΣΤΑΘΕΡΑ, ΤΟΛΜΗΡΑ, ΠΑΝΤΑ ΜΠΡΟΣΤΑ.","MOVING FORWARD STEADILY, BOLDLY, ALWAYS AHEAD.",NA,NA
"Συμπολίτες μου,","My fellow citizens,",NA,NA
"Στις σελίδες που ακολουθούν, συνοψίζεται το όραμά μας για την Ελλάδα του αύριο:","The following pages summarize our vision for the Greece of tomorrow:",NA,NA
"Το Πρόγραμμα Διακυβέρνησης 2023-2027 για μία Ελλάδα Παραγωγική.","The 2023-2027 Governance Programme for a Productive Greece.",NA,NA
"Κοινωνική.","Social.",NA,NA
"Δίκαιη.","Fair.",NA,NA
"Σύγχρονη.","Modern.",NA,NA
"Και, κυρίως, Ισχυρή.","And, above all, Strong.",NA,NA
"Με 4 κεντρικές προτεραιότητες:","With 4 central priorities:",NA,NA
"Πρώτον, καλύτερες αμοιβές για όλους!","First, better pay for all!",NA,NA
"Με ένα νέο Μισθολόγιο στο Δημόσιο και με αυξήσεις στηριγμένες στην εθνική ανάπτυξη, ώστε, σταδιακά, να καλύψουμε την απόσταση που μας χωρίζει ακόμη από τον μέσο όρο των μισθών στην Ευρώπη.","With a new Public Sector Wage Scale and with increases based on national growth, in order to gradually close the gap that still separates us from the average wage in Europe.",NA,NA
"Δεύτερον, ένα αποτελεσματικό Κράτος!","Secondly, an efficient State!",NA,NA
"Μετατρέποντας σε άλματα τα μέχρι τώρα ψηφιακά μας βήματα.","Turning our digital steps so far into leaps and bounds.",NA,NA
